contamination,latitude,longitude,depth,gap,dmin,nst
0.01,-1.549,100.54,65.6,49.6,2.082,361.0
0.01,-1.559,100.488,42.0,48.5,2.082,611.0
0.01,-4.003,135.023,10.0,23.0,2.082,390.0
0.01,-7.142,124.85,536.2,176.2,2.082,7.0
0.01,-7.325,119.988,620.0,56.8,2.082,46.0
0.01,-6.854,116.836,582.7,144.2,2.082,21.0
0.01,-6.156,113.73,588.6,54.6,2.082,59.0
0.01,4.232,123.103,600.0,155.0,2.082,17.0
0.01,3.745,122.354,608.3,67.9,2.082,72.0
0.01,-7.05,125.407,532.7,52.7,2.082,228.0
0.015,-6.087,113.05,600.9,101.0,2.082,24.0
0.015,3.963,123.035,541.4,101.0,2.082,24.0
0.015,3.686,122.366,618.8,101.0,2.082,24.0
0.015,3.007,122.434,568.6,101.0,2.082,24.0
0.015,3.579,122.765,561.9,101.0,2.082,24.0
0.015,4.338,122.826,622.9,101.0,2.082,24.0
0.015,5.852,124.094,500.0,101.0,2.082,24.0
0.015,5.687,123.401,600.0,101.0,2.082,24.0
0.015,-5.028,108.403,651.2,101.0,2.082,24.0
0.015,5.674,124.044,550.0,101.0,2.082,24.0
0.015,4.732,95.205,36.0,59.9,2.082,308.0
0.015,2.93,95.606,28.9,39.5,2.082,271.0
0.015,4.724,95.11,49.7,37.1,2.082,292.0
0.015,4.471,96.342,30.0,41.7,2.082,233.0
0.015,3.295,95.982,30.0,22.0,2.082,601.0
0.015,-3.609,135.404,10.0,28.8,2.082,439.0
0.015,5.398,123.613,563.1,155.8,2.082,17.0
0.015,-8.152,124.868,10.0,33.8,2.082,301.0
0.015,5.79,123.901,574.8,124.2,2.082,25.0
0.015,-5.831,110.421,641.5,126.7,2.082,14.0
0.015,-8.51,122.888,633.7,183.6,2.082,8.0
0.015,-7.227,117.601,591.9,153.5,2.082,11.0
0.015,-6.066,130.528,89.9,25.7,2.082,346.0
0.015,2.376,122.212,543.4,29.0,2.082,151.0
0.015,5.57,123.873,580.7,173.4,2.082,15.0
0.015,3.41,122.65,489.9,179.7,2.082,17.0
0.015,4.843,123.864,500.0,185.8,2.082,12.0
0.015,-6.242,95.666,20.7,29.6,2.082,400.0
0.015,-2.667,103.36,604.7,184.0,2.082,19.0
0.015,-2.427,103.981,582.1,33.7,2.082,641.0
0.05,-5.589,110.186,560.6,101.0,2.082,24.0
0.05,-5.958,110.22,652.2,101.0,2.082,24.0
0.05,-5.731,110.364,628.2,101.0,2.082,24.0
0.05,-5.786,110.352,637.5,101.0,2.082,24.0
0.05,5.978,124.053,560.3,101.0,2.082,24.0
0.05,-7.262,119.17,606.3,101.0,2.082,24.0
0.05,-6.09,123.489,638.4,101.0,2.082,24.0
0.05,-5.599,110.267,569.4,101.0,2.082,24.0
0.05,-6.091,113.09,567.4,101.0,2.082,24.0
0.05,4.797,122.987,578.2,101.0,2.082,24.0
0.05,2.649,122.215,536.0,101.0,2.082,24.0
0.05,-6.087,113.05,600.9,101.0,2.082,24.0
0.05,4.478,123.219,551.8,101.0,2.082,24.0
0.05,-7.264,122.937,542.4,101.0,2.082,24.0
0.05,5.546,123.862,565.0,101.0,2.082,24.0
0.05,-7.407,120.321,657.6,101.0,2.082,24.0
0.05,5.064,123.202,590.9,101.0,2.082,24.0
0.05,-7.32,120.356,638.5,101.0,2.082,24.0
0.05,-6.046,112.138,624.6,101.0,2.082,24.0
0.05,-7.172,117.089,604.3,101.0,2.082,24.0
0.05,4.928,123.042,602.9,101.0,2.082,24.0
0.05,3.313,121.922,624.3,101.0,2.082,24.0
0.05,3.09,122.005,616.3,101.0,2.082,24.0
0.05,5.602,124.054,477.2,101.0,2.082,24.0
0.05,4.539,123.329,559.6,101.0,2.082,24.0
0.05,4.331,122.993,578.4,101.0,2.082,24.0
0.05,3.963,123.035,541.4,101.0,2.082,24.0
0.05,5.058,123.396,541.0,101.0,2.082,24.0
0.05,3.501,122.715,556.4,101.0,2.082,24.0
0.05,-5.702,110.209,533.2,101.0,2.082,24.0
0.1,-5.589,110.186,560.6,101.0,2.082,24.0
0.1,-5.958,110.22,652.2,101.0,2.082,24.0
0.1,-5.731,110.364,628.2,101.0,2.082,24.0
0.1,-5.786,110.352,637.5,101.0,2.082,24.0
0.1,-6.965,124.111,595.6,101.0,2.082,24.0
0.1,-6.068,125.744,536.3,101.0,2.082,24.0
0.1,5.978,124.053,560.3,101.0,2.082,24.0
0.1,-7.214,120.501,551.4,101.0,2.082,24.0
0.1,5.959,95.142,65.1,101.0,2.082,24.0
0.1,-7.291,123.362,601.5,101.0,2.082,24.0
0.1,-7.264,120.425,553.1,101.0,2.082,24.0
0.1,-7.262,119.17,606.3,101.0,2.082,24.0
0.1,-6.09,123.489,638.4,101.0,2.082,24.0
0.1,-7.389,120.744,489.4,101.0,2.082,24.0
0.1,4.842,96.402,173.1,101.0,2.082,24.0
0.1,3.57,96.593,128.3,101.0,2.082,24.0
0.1,-5.599,110.267,569.4,101.0,2.082,24.0
0.1,3.348,122.729,562.1,101.0,2.082,24.0
0.1,4.06,122.892,556.5,101.0,2.082,24.0
0.1,3.493,122.614,552.7,101.0,2.082,24.0
0.1,-6.069,125.064,592.5,101.0,2.082,24.0
0.1,-6.091,113.09,567.4,101.0,2.082,24.0
0.1,-7.105,117.489,507.6,101.0,2.082,24.0
0.1,-7.177,120.272,585.7,101.0,2.082,24.0
0.1,4.797,122.987,578.2,101.0,2.082,24.0
0.1,-6.441,125.549,554.8,101.0,2.082,24.0
0.1,3.71,123.957,425.5,101.0,2.082,24.0
0.1,2.649,122.215,536.0,101.0,2.082,24.0
0.1,-6.087,113.05,600.9,101.0,2.082,24.0
0.1,4.478,123.219,551.8,101.0,2.082,24.0
