latitude,longitude,depth,gap,dmin,nst
4.338,122.826,622.9,101.0,2.082,24.0
5.674,124.044,550.0,101.0,2.082,24.0
4.732,95.205,36.0,59.9,2.082,308.0
2.93,95.606,28.9,39.5,2.082,271.0
4.724,95.11,49.7,37.1,2.082,292.0
4.471,96.342,30.0,41.7,2.082,233.0
3.295,95.982,30.0,22.0,2.082,601.0
-3.609,135.404,10.0,28.8,2.082,439.0
5.79,123.901,574.8,124.2,2.082,25.0
-5.831,110.421,641.5,126.7,2.082,14.0
-8.51,122.888,633.7,183.6,2.082,8.0
-7.227,117.601,591.9,153.5,2.082,11.0
-6.066,130.528,89.9,25.7,2.082,346.0
2.376,122.212,543.4,29.0,2.082,151.0
5.57,123.873,580.7,173.4,2.082,15.0
-2.667,103.36,604.7,184.0,2.082,19.0
-2.427,103.981,582.1,33.7,2.082,641.0
-6.98,124.881,548.9,57.4,2.082,157.0
-6.04,113.109,579.4,26.5,2.082,417.0
0.415,97.825,21.0,26.2,2.082,364.0
-1.549,100.54,65.6,49.6,2.082,361.0
-1.559,100.488,42.0,48.5,2.082,611.0
-4.003,135.023,10.0,23.0,2.082,390.0
-7.142,124.85,536.2,176.2,2.082,7.0
-7.325,119.988,620.0,56.8,2.082,46.0
-6.854,116.836,582.7,144.2,2.082,21.0
-6.156,113.73,588.6,54.6,2.082,59.0
4.232,123.103,600.0,155.0,2.082,17.0
3.745,122.354,608.3,67.9,2.082,72.0
-7.05,125.407,532.7,52.7,2.082,228.0
