latitude,longitude,depth,gap,dmin,nst
4.732,95.205,36.0,59.9,2.082,308.0
2.93,95.606,28.9,39.5,2.082,271.0
4.724,95.11,49.7,37.1,2.082,292.0
3.295,95.982,30.0,22.0,2.082,601.0
-3.609,135.404,10.0,28.8,2.082,439.0
2.376,122.212,543.4,29.0,2.082,151.0
5.57,123.873,580.7,173.4,2.082,15.0
-2.427,103.981,582.1,33.7,2.082,641.0
-6.04,113.109,579.4,26.5,2.082,417.0
-6.854,116.836,582.7,144.2,2.082,21.0
4.232,123.103,600.0,155.0,2.082,17.0
-7.05,125.407,532.7,52.7,2.082,228.0
5.316,95.9,124.8,35.2,2.082,496.0
-7.324,126.051,409.2,40.5,2.082,325.0
4.529,122.511,635.4,36.8,2.082,365.0
-6.016,113.242,581.8,39.9,2.082,111.0
-7.207,122.697,573.4,63.6,2.082,214.0
-7.075,123.675,584.7,65.5,2.082,165.0
4.111,97.72,138.5,101.0,2.082,398.0
4.983,123.158,602.5,101.0,2.082,154.0
-7.185,120.507,599.3,101.0,2.082,168.0
-7.161,117.488,521.0,101.0,2.082,371.0
-5.711,110.622,560.9,101.0,2.082,187.0
5.069,123.212,588.3,101.0,2.082,207.0
-7.018,123.357,648.5,101.0,2.082,517.0
-7.096,125.906,496.1,101.0,2.082,260.0
-6.813,125.676,527.7,39.6,2.082,128.0
-1.434,99.393,19.0,19.3,2.082,391.0
2.759,95.91,21.0,17.9,2.082,245.0
-10.403,118.885,15.0,30.1,2.082,306.0
