latitude,longitude,depth,gap,dmin,nst
-5.589,110.186,560.6,101.0,2.082,24.0
-5.958,110.22,652.2,101.0,2.082,24.0
-5.731,110.364,628.2,101.0,2.082,24.0
-5.786,110.352,637.5,101.0,2.082,24.0
-6.965,124.111,595.6,101.0,2.082,24.0
-6.068,125.744,536.3,101.0,2.082,24.0
5.978,124.053,560.3,101.0,2.082,24.0
-7.214,120.501,551.4,101.0,2.082,24.0
5.959,95.142,65.1,101.0,2.082,24.0
-7.291,123.362,601.5,101.0,2.082,24.0
-7.264,120.425,553.1,101.0,2.082,24.0
-7.262,119.17,606.3,101.0,2.082,24.0
-6.09,123.489,638.4,101.0,2.082,24.0
-7.389,120.744,489.4,101.0,2.082,24.0
4.842,96.402,173.1,101.0,2.082,24.0
3.57,96.593,128.3,101.0,2.082,24.0
-5.599,110.267,569.4,101.0,2.082,24.0
3.348,122.729,562.1,101.0,2.082,24.0
4.06,122.892,556.5,101.0,2.082,24.0
3.493,122.614,552.7,101.0,2.082,24.0
-6.069,125.064,592.5,101.0,2.082,24.0
-6.091,113.09,567.4,101.0,2.082,24.0
-7.105,117.489,507.6,101.0,2.082,24.0
-7.177,120.272,585.7,101.0,2.082,24.0
4.797,122.987,578.2,101.0,2.082,24.0
-6.441,125.549,554.8,101.0,2.082,24.0
3.71,123.957,425.5,101.0,2.082,24.0
2.649,122.215,536.0,101.0,2.082,24.0
-6.087,113.05,600.9,101.0,2.082,24.0
4.478,123.219,551.8,101.0,2.082,24.0
