latitude,longitude,depth,gap,dmin,nst
4.732,95.205,36.0,59.9,2.082,308.0
2.93,95.606,28.9,39.5,2.082,271.0
4.724,95.11,49.7,37.1,2.082,292.0
4.471,96.342,30.0,41.7,2.082,233.0
3.295,95.982,30.0,22.0,2.082,601.0
-3.609,135.404,10.0,28.8,2.082,439.0
-8.51,122.888,633.7,183.6,2.082,8.0
-7.227,117.601,591.9,153.5,2.082,11.0
2.376,122.212,543.4,29.0,2.082,151.0
5.57,123.873,580.7,173.4,2.082,15.0
-2.427,103.981,582.1,33.7,2.082,641.0
-6.04,113.109,579.4,26.5,2.082,417.0
0.415,97.825,21.0,26.2,2.082,364.0
-1.559,100.488,42.0,48.5,2.082,611.0
-7.142,124.85,536.2,176.2,2.082,7.0
-6.854,116.836,582.7,144.2,2.082,21.0
-6.156,113.73,588.6,54.6,2.082,59.0
4.232,123.103,600.0,155.0,2.082,17.0
3.745,122.354,608.3,67.9,2.082,72.0
-7.05,125.407,532.7,52.7,2.082,228.0
5.316,95.9,124.8,35.2,2.082,496.0
-7.324,126.051,409.2,40.5,2.082,325.0
3.706,122.253,608.9,69.1,2.082,59.0
-8.682,111.227,56.2,19.4,2.082,397.0
4.529,122.511,635.4,36.8,2.082,365.0
-6.016,113.242,581.8,39.9,2.082,111.0
-7.207,122.697,573.4,63.6,2.082,214.0
-7.075,123.675,584.7,65.5,2.082,165.0
5.039,123.194,600.0,101.0,2.082,41.0
1.947,122.682,483.0,101.0,2.082,89.0
