latitude,longitude,depth,gap,dmin,nst
-5.589,110.186,560.6,101.0,2.082,24.0
-5.958,110.22,652.2,101.0,2.082,24.0
-5.731,110.364,628.2,101.0,2.082,24.0
-5.786,110.352,637.5,101.0,2.082,24.0
5.978,124.053,560.3,101.0,2.082,24.0
-7.262,119.17,606.3,101.0,2.082,24.0
-6.09,123.489,638.4,101.0,2.082,24.0
-5.599,110.267,569.4,101.0,2.082,24.0
-6.091,113.09,567.4,101.0,2.082,24.0
4.797,122.987,578.2,101.0,2.082,24.0
2.649,122.215,536.0,101.0,2.082,24.0
-6.087,113.05,600.9,101.0,2.082,24.0
4.478,123.219,551.8,101.0,2.082,24.0
-7.264,122.937,542.4,101.0,2.082,24.0
5.546,123.862,565.0,101.0,2.082,24.0
-7.407,120.321,657.6,101.0,2.082,24.0
5.064,123.202,590.9,101.0,2.082,24.0
-7.32,120.356,638.5,101.0,2.082,24.0
-6.046,112.138,624.6,101.0,2.082,24.0
-7.172,117.089,604.3,101.0,2.082,24.0
4.928,123.042,602.9,101.0,2.082,24.0
3.313,121.922,624.3,101.0,2.082,24.0
3.09,122.005,616.3,101.0,2.082,24.0
5.602,124.054,477.2,101.0,2.082,24.0
4.539,123.329,559.6,101.0,2.082,24.0
4.331,122.993,578.4,101.0,2.082,24.0
3.963,123.035,541.4,101.0,2.082,24.0
5.058,123.396,541.0,101.0,2.082,24.0
3.501,122.715,556.4,101.0,2.082,24.0
-5.702,110.209,533.2,101.0,2.082,24.0
