latitude,longitude,depth,gap,dmin,nst
-6.087,113.05,600.9,101.0,2.082,24.0
3.963,123.035,541.4,101.0,2.082,24.0
3.686,122.366,618.8,101.0,2.082,24.0
3.007,122.434,568.6,101.0,2.082,24.0
3.579,122.765,561.9,101.0,2.082,24.0
4.338,122.826,622.9,101.0,2.082,24.0
5.852,124.094,500.0,101.0,2.082,24.0
5.687,123.401,600.0,101.0,2.082,24.0
-5.028,108.403,651.2,101.0,2.082,24.0
5.674,124.044,550.0,101.0,2.082,24.0
4.732,95.205,36.0,59.9,2.082,308.0
2.93,95.606,28.9,39.5,2.082,271.0
4.724,95.11,49.7,37.1,2.082,292.0
4.471,96.342,30.0,41.7,2.082,233.0
3.295,95.982,30.0,22.0,2.082,601.0
-3.609,135.404,10.0,28.8,2.082,439.0
5.398,123.613,563.1,155.8,2.082,17.0
-8.152,124.868,10.0,33.8,2.082,301.0
5.79,123.901,574.8,124.2,2.082,25.0
-5.831,110.421,641.5,126.7,2.082,14.0
-8.51,122.888,633.7,183.6,2.082,8.0
-7.227,117.601,591.9,153.5,2.082,11.0
-6.066,130.528,89.9,25.7,2.082,346.0
2.376,122.212,543.4,29.0,2.082,151.0
5.57,123.873,580.7,173.4,2.082,15.0
3.41,122.65,489.9,179.7,2.082,17.0
4.843,123.864,500.0,185.8,2.082,12.0
-6.242,95.666,20.7,29.6,2.082,400.0
-2.667,103.36,604.7,184.0,2.082,19.0
-2.427,103.981,582.1,33.7,2.082,641.0
